Eps_Scl             26.411667           -25.0525            5.31                
(26.647,17.413)     26.647083           17.413056           6.55                
Tau1Hyi             25.33875            -79.148333          6.33                
(26.504,-27.349)    26.504167           -27.349167          6.39                
(26.95,46.23)       26.95               46.229722           6.32                
(26.524,-50.816)    26.524167           -50.816389          5.49                
(26.526,-53.522)    26.52625            -53.521944          5.04                
(27.162,37.953)     27.162083           37.952778           5.94                
4_Ari               27.045417           16.955556           5.84                
(27.173,32.69)      27.173333           32.690278           5.79                
(26.82,-41.76)      26.82               -41.76              6.18                
(24.367,-84.77)     24.366667           -84.769722          5.69                
(27.315,47.897)     27.315417           47.896944           5.82                
(27.108,3.686)      27.108333           3.685556            5.91                
(26.949,-37.16)     26.949167           -37.159722          6.32                
(27.738,51.933)     27.737917           51.933333           5.9                 
1_Ari               27.535417           22.275278           5.86                
53Chi_Cet           27.39625            -10.686389          4.67                
(27.331,-31.073)    27.33125            -31.072778          6.34                
1_Per               27.997083           55.1475             5.52                
(27.717,11.043)     27.716667           11.043333           5.94                
(27.453,-38.404)    27.453333           -38.403889          6.37                
2_Per               28.039167           50.792778           5.79                
(27.584,-47.816)    27.584167           -47.816389          6.14                
(28.212,51.475)     28.211667           51.474722           6.26                
55Zet_Cet           27.865              -10.335             3.73                
(28.452,55.598)     28.452083           55.598056           6.45                
(27.727,-50.206)    27.727083           -50.206111          5.94                
45Eps_Cas           28.59875            63.67               3.38                
55_And              28.322083           40.729722           5.4                 
2Alp_Tri            28.270417           29.578889           3.41                
5Gam1Ari            28.3825             19.295833           4.83                
5Gam2Ari            28.3825             19.293611           4.75                
(28.217,-16.929)    28.217083           -16.929167          5.8                 
46Ome_Cas           29.0                68.685278           4.99                
111Xi_Psc           28.38875            3.1875              4.62                
Tau2Hyi             26.94375            -80.176667          6.06                
(28.724,40.702)     28.724167           40.701944           6.24                
(28.74,37.128)      28.739583           37.128333           6.26                
6Bet_Ari            28.66               20.808056           2.64                
(28.347,-38.595)    28.346667           -38.594722          6.1                 
Psi_Phe             28.411667           -46.3025            4.41                
(28.977,37.278)     28.976667           37.277778           5.89                
